Method,Delta,COV
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
RDKit ETKDG,0.0,0.00
