Method,Delta,COV
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
GeoDiff,0.0,0.00
