Method,Delta,COV
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
Torsional Diffusion,0.0,0.00
